"Time (s)","Sound pressure level (dB)"
0.000000000E0,-6.311279384E1
2.861498333E-1,NaN
3.920241667E-1,-6.280800932E1
4.996980417E-1,-6.550235627E1
6.085491250E-1,-6.990856475E1
7.163788333E-1,-6.748612888E1
8.253500833E-1,-7.079156087E1
9.329677083E-1,-7.259952754E1
1.040690083E0,-6.981150790E1
1.149747042E0,-7.251387789E1
1.258891333E0,-6.555388811E1
1.366320125E0,-7.182267190E1
1.473401042E0,-7.460166223E1
1.578522625E0,-7.468594921E1
1.682863917E0,-7.289327954E1
1.786157125E0,-6.715173224E1
1.892018167E0,-6.854972869E1
1.999391917E0,-7.312262854E1
2.107747875E0,-6.844469007E1
2.216003792E0,-6.484152183E1
2.323461167E0,-6.911102364E1
2.432676875E0,-6.690935728E1
2.538870167E0,-6.177632742E1
2.647157333E0,-6.385695528E1
2.754999958E0,-6.537960191E1
2.862714458E0,-6.597878506E1
2.970600542E0,-7.381866306E1
3.078506583E0,-6.991799733E1
3.186493500E0,-6.244537077E1
3.294357333E0,-6.790066273E1
3.402183833E0,-7.178127506E1
3.510041667E0,-7.120042288E1
3.617963583E0,-7.015757423E1
3.725837667E0,-7.141760198E1
3.833740333E0,-7.314793323E1
3.940715667E0,-7.368490401E1
4.049516292E0,-6.903993540E1
4.158291750E0,-7.315774345E1
4.266074458E0,-6.156400043E1
4.373112375E0,-6.359135248E1
4.482683417E0,-6.537986429E1
4.588894708E0,-7.417067178E1
4.696684250E0,-7.381378734E1
4.804653792E0,-6.642739017E1
4.912491083E0,-6.890340367E1
5.020327875E0,-7.049573170E1
5.128196875E0,-7.300120977E1
5.236288292E0,-7.385861457E1
5.343962000E0,-7.558242210E1
5.451883083E0,-7.681540053E1
5.559693625E0,-7.782856610E1
5.667524625E0,-7.351207106E1
5.775369583E0,-7.464941217E1
5.882502292E0,-7.645550738E1
5.991033208E0,-7.205532997E1
6.099129083E0,-7.179903369E1
6.206850000E0,-6.277956645E1
6.315734292E0,-6.374993628E1
6.422635000E0,-6.449287279E1
6.530346958E0,-6.847069205E1
6.638371250E0,-7.039002632E1
6.746320583E0,-7.205471277E1
6.854120500E0,-6.892167984E1
6.961840417E0,-6.863761836E1
7.069805375E0,-6.439717216E1
7.177724833E0,-6.427629730E1
7.285503000E0,-5.747165638E1
7.393445750E0,-2.571259655E1
7.501372792E0,-2.623461865E1
7.609222292E0,-2.782695763E1
7.717088458E0,-2.919176816E1
7.824970542E0,-3.109035661E1
7.932474000E0,-3.278757881E1
8.040724167E0,-3.477878943E1
8.149040833E0,-3.671263163E1
8.256532125E0,-3.816178919E1
8.365132917E0,-3.887064701E1
8.468789083E0,NaN
8.575857500E0,-3.798992127E1
8.682094375E0,-3.641973482E1
8.787409583E0,-3.586358165E1
8.896158792E0,-3.538574120E1
9.005047417E0,-3.500266942E1
9.113542750E0,-3.477338278E1
9.222358792E0,-3.467939875E1
9.326455375E0,-3.457580762E1
9.432361500E0,-3.474916109E1
9.541125125E0,-3.470802186E1
9.648922625E0,-3.486759321E1
9.757686917E0,-3.506354677E1
9.865530542E0,-3.543419658E1
9.974040375E0,-3.577928198E1
1.008210817E1,-3.590341894E1
1.019071412E1,-3.635112899E1
1.029884854E1,-3.659358550E1
1.040746838E1,-3.696256257E1
1.051553583E1,-3.725055949E1
1.062417950E1,-3.775276064E1
1.073220400E1,-3.815564047E1
1.083723800E1,-3.859800534E1
1.094590196E1,-3.908782015E1
1.105474683E1,-3.952193676E1
1.116334917E1,-4.061892252E1
1.127176892E1,-4.106563057E1
1.137976621E1,-4.160341121E1
1.148874150E1,-4.215228341E1
1.159729567E1,-4.271654440E1
1.170597204E1,-4.312891919E1
1.181464612E1,-4.379171589E1
1.192329954E1,-4.422915829E1
