"Time (s)","Sound pressure level (dB)"
0.000000000E0,-6.389305598E1
3.475124167E-1,NaN
4.537498333E-1,-6.832129256E1
5.607100417E-1,-7.113151917E1
6.662600417E-1,-7.221403941E1
7.706786667E-1,-7.433061047E1
8.792512500E-1,-7.468672991E1
9.873063750E-1,-7.357641567E1
1.095971500E0,-7.272931695E1
1.204024375E0,-7.286647679E1
1.312713250E0,-7.324461537E1
1.420753667E0,-7.254608394E1
1.529575583E0,-7.188984552E1
1.637384500E0,-6.300889461E1
1.742658583E0,-5.352705858E1
1.849333875E0,-5.881529091E1
1.953955167E0,-6.355179610E1
2.062588833E0,-6.944925800E1
2.170230292E0,-6.941360390E1
2.276857375E0,-7.193055538E1
2.382822833E0,-6.948198823E1
2.487367625E0,-6.457502489E1
2.596099958E0,-6.855971991E1
2.704000292E0,-6.995333758E1
2.812669333E0,-6.691448136E1
2.920452125E0,-5.582907443E1
3.028892333E0,-5.896265230E1
3.137150708E0,-5.773538476E1
3.245728250E0,-5.727214337E1
3.353923625E0,-6.599182924E1
3.461422083E0,-7.057690146E1
3.565964417E0,-7.097170776E1
3.670587083E0,-7.102211249E1
3.778965458E0,-7.150703672E1
3.887215083E0,-7.041166685E1
3.996439542E0,-7.152348544E1
4.103921125E0,-7.108659705E1
4.212816500E0,-7.168874701E1
4.320581417E0,-7.221873584E1
4.425917375E0,-7.188851367E1
4.532861625E0,-7.080793664E1
4.637255208E0,-4.271241238E1
4.742647750E0,-3.939854924E1
4.849505958E0,-3.998549039E1
4.953884750E0,-4.046597117E1
5.059300917E0,-4.161376478E1
5.166212667E0,-5.390789395E1
5.270572792E0,-6.909846849E1
5.379618083E0,-7.121095559E1
5.487242167E0,-7.115791228E1
5.596435750E0,-7.075502439E1
5.703962625E0,-7.200589475E1
5.809701458E0,-7.161260317E1
5.918187875E0,-6.991159460E1
6.027071333E0,-7.099394774E1
6.132560792E0,-7.245724116E1
6.237220500E0,-7.194514228E1
6.341680125E0,-7.263474169E1
6.449136167E0,-7.308258869E1
6.553516542E0,-7.140596269E1
6.661648625E0,-7.165936882E1
6.766010417E0,-7.101153216E1
6.870504083E0,-7.157439501E1
6.976058708E0,-7.235127710E1
7.082561958E0,-7.159224413E1
7.187262417E0,-7.282485325E1
7.292139000E0,-6.723940505E1
7.399206667E0,-7.236483842E1
7.503940042E0,-7.251492937E1
7.609364208E0,-6.992281596E1
7.715881792E0,-7.143233848E1
7.820644542E0,-7.210216232E1
7.928451917E0,-6.926377882E1
8.032593417E0,-6.938466614E1
8.137083958E0,-7.193039164E1
8.242629917E0,-7.106742713E1
8.349395875E0,-6.740442656E1
8.453880208E0,-6.914003328E1
8.562989708E0,-6.658685678E1
8.670610250E0,-6.819338394E1
8.776101917E0,-7.070602847E1
8.882410542E0,-7.042078415E1
8.987277333E0,-6.691607970E1
9.095847833E0,-7.052181797E1
9.204048542E0,-7.124651354E1
9.311147792E0,-7.332676956E1
9.415757250E0,-7.327277078E1
9.520709375E0,-7.379248494E1
9.629088500E0,-7.298281162E1
9.737204875E0,-7.004594658E1
9.845857042E0,-7.233678594E1
9.953912208E0,-7.212974949E1
1.006239525E1,-7.460628684E1
1.017052529E1,-7.170572842E1
1.027901204E1,-7.311627499E1
1.038693229E1,-7.208394308E1
1.049015904E1,-3.343166343E1
1.059707454E1,-3.262957049E1
1.070388408E1,-3.320463906E1
1.081286388E1,-3.360084893E1
1.092048979E1,-3.446001415E1
1.102886438E1,-3.490069192E1
1.113717767E1,-3.531814419E1
1.124571204E1,-3.570341615E1
1.135397746E1,-3.609217578E1
1.146160163E1,-3.643865430E1
1.156571321E1,-3.673591856E1
1.167062287E1,-3.702331468E1
1.177908129E1,-3.731065618E1
1.188721963E1,-3.760315351E1
1.199579821E1,-3.792880774E1
1.210398508E1,-3.826180131E1
1.221260879E1,-3.860686647E1
1.232063592E1,-3.896525373E1
1.242832479E1,-3.930481438E1
1.253208196E1,-3.998779405E1
1.263713579E1,-4.032266884E1
1.274547400E1,-4.067633837E1
1.285389833E1,-4.098770618E1
1.296247763E1,-4.134768326E1
1.307062292E1,-4.168492229E1
1.317924163E1,-4.196856913E1
1.328743850E1,-4.230470995E1
1.339178408E1,-4.266254864E1
1.349942492E1,-4.300008654E1
1.360397792E1,-4.329579931E1
1.371282321E1,-4.364476127E1
1.381871967E1,-4.398289821E1
1.392679533E1,-4.456661094E1
1.403189708E1,NaN
1.413889817E1,-4.512558179E1
1.424739083E1,-4.536541468E1
1.435637196E1,-4.564442807E1
1.446504512E1,-4.591852513E1
1.457359108E1,-4.619398102E1
1.468207463E1,-4.641831329E1
1.479074433E1,-4.668955183E1
1.489871317E1,-4.695314559E1
1.500746321E1,-4.721267066E1
1.511542583E1,-4.743564488E1
1.522426633E1,-4.773043369E1
1.533211179E1,-4.800023121E1
1.544075558E1,-4.859897775E1
1.554862321E1,-4.887549554E1
1.565733621E1,-4.917492966E1
1.576530421E1,-4.950004901E1
1.587398571E1,-4.982352904E1
1.598212887E1,-5.016913125E1
1.609074383E1,-5.044789365E1
1.619865238E1,-5.085375438E1
1.630743021E1,-5.123117130E1
1.641536892E1,-5.156645988E1
1.652405388E1,-5.194831342E1
1.663205212E1,-5.229366959E1
1.673990917E1,-5.304782644E1
1.684856596E1,-5.340857520E1
1.695708158E1,-5.394249243E1
1.706524954E1,-5.422035342E1
1.717393979E1,-5.466271660E1
1.728198458E1,-5.500718933E1
1.739081908E1,-5.538535001E1
1.749853717E1,-5.587476226E1
1.760730342E1,-5.615913519E1
1.771521154E1,-5.648415895E1
1.782367850E1,-5.681485937E1
1.793189346E1,-5.773037992E1
1.804036875E1,-5.810273148E1
1.814842304E1,-5.826849907E1
1.825689096E1,-5.852720575E1
1.836522725E1,-5.926384248E1
1.847365975E1,-5.947838396E1
1.858186354E1,-5.993838849E1
1.868725696E1,-6.033762765E1
1.879592079E1,-6.060273227E1
1.890465213E1,-6.105666236E1
1.901328071E1,-6.118181312E1
1.912215850E1,-6.190928358E1
1.922868613E1,-6.188302834E1
1.933755129E1,-6.262783773E1
1.944590950E1,-6.314330738E1
1.955470754E1,-6.356143479E1
1.965946950E1,-6.388085227E1
1.976514788E1,-6.422973204E1
1.987376950E1,-6.479132816E1
1.998192638E1,-6.477185061E1
2.009060250E1,-6.502427756E1
2.019837596E1,-6.587408696E1
2.030334104E1,-6.600236327E1
2.041036313E1,-6.319821111E1
2.051507433E1,-7.103304809E1
2.062369875E1,-7.084515420E1
2.073158779E1,-3.169192840E1
2.084018321E1,-2.875680614E1
2.094834721E1,-2.917426217E1
2.105689683E1,-2.961773693E1
2.116504821E1,-3.009050158E1
2.127378025E1,-3.055587202E1
2.138172650E1,-3.097838050E1
2.148705842E1,-3.140222433E1
2.159580371E1,-3.179850545E1
2.170463613E1,-3.215625520E1
2.181338679E1,-3.246149241E1
2.192211213E1,-3.280082063E1
2.202917608E1,-3.311379291E1
2.213346058E1,-3.385622693E1
2.224182700E1,-3.422231455E1
2.234823325E1,-3.462320046E1
2.245684346E1,-3.500937771E1
2.256507467E1,-3.539468943E1
2.267158042E1,-3.577887858E1
2.277995396E1,-3.614854147E1
2.288867633E1,-3.651410258E1
2.299726067E1,-3.686966207E1
2.310609513E1,-3.725243899E1
2.321282113E1,-3.761857754E1
2.332164571E1,-3.800411086E1
2.343014796E1,-3.876209988E1
2.353865967E1,-3.914341876E1
2.364703038E1,-3.949665808E1
2.375570175E1,-3.985026737E1
2.385988004E1,-4.021344612E1
2.396484754E1,-4.056852928E1
2.407269508E1,-4.091653297E1
2.418121775E1,-4.123466793E1
2.428995954E1,-4.155462077E1
2.439828396E1,-4.188547683E1
2.450717358E1,-4.218377014E1
2.461496875E1,-4.246942511E1
2.472354021E1,-4.305813304E1
2.483140913E1,-4.336887264E1
