"Time (s)","Sound pressure level (dB)"
0.000000000E0,-7.177352128E1
2.768610000E-1,NaN
3.813242917E-1,-7.040653396E1
4.843880000E-1,-7.633954233E1
5.903687917E-1,-7.403951268E1
6.981403333E-1,-7.391869442E1
8.047132083E-1,-7.452488749E1
9.112097917E-1,-7.372444202E1
1.018977500E0,-7.142130401E1
1.126271667E0,-7.238727329E1
1.233241292E0,-7.587004609E1
1.341443542E0,-7.595994853E1
1.448090042E0,-7.245783063E1
1.555635750E0,-7.056162980E1
1.664129208E0,-7.186822981E1
1.769802458E0,-7.213372627E1
1.877669542E0,-6.952157026E1
1.984254875E0,-7.392079736E1
2.091796833E0,-7.423941201E1
2.197708625E0,-7.331220210E1
2.302065125E0,-7.315962903E1
2.407345875E0,-5.666345807E1
2.514551125E0,-6.495555893E1
2.618614167E0,-7.171930868E1
2.721841500E0,-7.223343796E1
2.830503708E0,-7.289439858E1
2.935362333E0,-7.624146574E1
3.044303417E0,-7.524683972E1
3.151821250E0,-7.289358422E1
3.259452833E0,-7.444756155E1
3.364207208E0,NaN
3.468390417E0,-7.201331543E1
3.574560500E0,-7.093832314E1
3.681041667E0,-7.084764729E1
3.784389458E0,-7.428190252E1
3.890013708E0,-7.267390325E1
3.997846458E0,-7.212259828E1
4.100957375E0,-7.336022289E1
4.206278625E0,-7.420951719E1
4.314465917E0,-7.465268267E1
4.418613750E0,-7.408518142E1
4.526404083E0,-7.304223969E1
4.631124125E0,-6.728895641E1
4.734700917E0,-7.191864493E1
4.842491875E0,-7.179480421E1
4.947728208E0,-7.358589690E1
5.051885667E0,-7.394391029E1
5.156357292E0,NaN
5.263317417E0,-7.493536613E1
5.368813833E0,-7.402164750E1
5.477778333E0,-7.263220564E1
5.585415000E0,-7.394039800E1
5.694107333E0,-7.620171688E1
5.802101125E0,-7.112045151E1
5.909740333E0,-7.042284707E1
6.017921167E0,-7.142244106E1
6.124988417E0,-7.236008209E1
6.232370750E0,-6.824598566E1
6.339194667E0,-6.904840127E1
6.447433417E0,-7.029950484E1
6.552141083E0,-7.446045210E1
6.660693458E0,-7.300538353E1
6.764062792E0,-7.233646555E1
6.868613333E0,-7.442668024E1
6.977010917E0,-7.452647118E1
7.085394917E0,-7.021429200E1
7.194147917E0,-7.343356804E1
7.302131042E0,-7.163622946E1
7.410808875E0,-6.031492739E1
7.518686542E0,-6.099786833E1
7.626573750E0,-7.085220133E1
7.734272500E0,-7.205687847E1
7.840938333E0,-7.063911136E1
7.947439458E0,-7.099773834E1
8.052081292E0,-7.034654895E1
8.160762000E0,-7.018212540E1
