"Time (s)","Sound pressure level (dB)"
2.029881904E1,-7.546660431E1
2.040661079E1,-7.391713508E1
2.051532346E1,-7.301738439E1
2.062320958E1,-3.792122860E1
2.073209554E1,-4.076479900E1
2.083994225E1,-4.324790575E1
2.094844229E1,-4.451012064E1
2.105653583E1,-4.477915299E1
2.116536033E1,-4.556443105E1
2.127317842E1,-4.576104854E1
2.138172775E1,-4.664858198E1
2.148997121E1,-4.706104888E1
2.159869450E1,-4.795611794E1
2.170657612E1,-4.802513764E1
2.181512950E1,-4.939626799E1
2.192316404E1,-4.947939735E1
2.203142700E1,-5.032178720E1
2.213987992E1,-5.096953701E1
2.224877375E1,-5.106936336E1
2.235654217E1,-5.221353342E1
2.246526337E1,-5.324362342E1
2.257307704E1,-5.316875315E1
2.268176771E1,-5.485917990E1
2.278976475E1,-5.417505459E1
2.289847000E1,-5.599852559E1
2.300652058E1,-5.591981101E1
2.311529987E1,-5.680336312E1
2.322311979E1,-5.750228693E1
2.333185300E1,-5.793751988E1
2.343979337E1,-5.876499995E1
2.354550854E1,-5.890897247E1
2.365396000E1,-5.953825120E1
2.376296500E1,-6.212468926E1
2.387186250E1,-6.103331434E1
2.397701958E1,-6.289682605E1
2.408580358E1,-6.278588168E1
2.418970050E1,-6.371396540E1
2.429850925E1,-6.427880384E1
2.440639146E1,-6.490064320E1
2.451533837E1,-6.646757475E1
2.462303271E1,-6.534650246E1
2.472840642E1,-6.775164889E1
2.483710808E1,-6.581359735E1
2.494244950E1,-6.785279289E1
2.504888696E1,-6.838796145E1
2.515613650E1,-6.828878688E1
2.526487208E1,-6.890976065E1
2.537298221E1,-6.997732088E1
2.548061337E1,-7.014408301E1
2.558938633E1,-7.283240444E1
2.569795392E1,-7.047778289E1
2.580626129E1,-7.426820577E1
2.591506092E1,-7.164789110E1
2.602295425E1,-7.227904501E1
2.613132137E1,-7.149950960E1
2.623946638E1,-7.130376511E1
2.634788492E1,-7.085464221E1
2.645624504E1,-7.367631750E1
2.656489400E1,-7.196416988E1
2.667290071E1,-7.533796516E1
2.678166212E1,-7.261582087E1
2.688958083E1,-7.306828796E1
2.699839512E1,-7.221197977E1
2.710620979E1,-7.253030490E1
2.721481362E1,-7.246688200E1
2.732289412E1,-7.364306487E1
2.743166962E1,-7.468641922E1
2.753956971E1,-7.536453824E1
2.764818562E1,-7.481650944E1
2.775606950E1,-7.562740292E1
2.786476112E1,-7.226312730E1
2.797289112E1,-7.344653627E1
2.807665504E1,-7.381563158E1
2.818524954E1,-7.418261781E1
2.829081800E1,-7.541384422E1
2.839929583E1,-7.389830954E1
2.850615092E1,-7.493101237E1
2.861498887E1,-7.484985670E1
2.872280850E1,-7.667927915E1
2.883144646E1,-7.549341023E1
2.893965675E1,-7.622913429E1
2.904760275E1,-7.677951833E1
2.915611838E1,-7.527852769E1
2.926466133E1,-7.345435545E1
2.937288737E1,-7.506713176E1
2.948172062E1,-7.229676913E1
2.958945492E1,-7.370874866E1
2.969376137E1,-7.335718494E1
2.980049546E1,-7.514127353E1
2.990603129E1,-7.537422565E1
3.001463862E1,-7.611898483E1
3.012281287E1,-7.443276782E1
3.023161025E1,-7.498410203E1
3.033923321E1,-3.235583257E1
3.044618771E1,-3.646590553E1
3.055481508E1,-3.798288917E1
3.066078221E1,-3.904407156E1
3.076942250E1,-3.964344688E1
3.087815650E1,-3.933107179E1
3.098679146E1,-4.063587949E1
3.109557742E1,-4.042668880E1
3.120140096E1,-4.169765958E1
3.130608579E1,-4.213362359E1
3.141480012E1,-4.280960707E1
3.152257625E1,-4.345739220E1
3.163129679E1,-4.419562664E1
3.173924404E1,-4.478287848E1
3.184812754E1,-4.489058385E1
3.195600850E1,-4.517144947E1
3.206460504E1,-4.674619691E1
3.217271437E1,-4.643726524E1
3.228154012E1,-4.731723394E1
3.238916296E1,-4.802383989E1
3.249783763E1,-4.843756512E1
3.260586683E1,-4.944873314E1
3.271466708E1,-5.002157069E1
3.282257488E1,-5.144260828E1
3.293127958E1,-5.091241844E1
3.303914962E1,-5.337095391E1
3.314793325E1,-5.194166032E1
3.325597196E1,-5.409278835E1
3.336468837E1,-5.451706572E1
3.347243271E1,-5.566732582E1
3.358110900E1,-5.556411650E1
3.368910817E1,-5.722101070E1
3.379681888E1,-5.691662013E1
3.390545987E1,-5.936686255E1
3.401412225E1,-5.727192343E1
3.412243633E1,-6.089496283E1
3.423117208E1,-5.933463644E1
3.433922650E1,-6.102747143E1
3.444794662E1,-6.218945740E1
3.455561433E1,-6.357168001E1
3.466423529E1,-6.258886001E1
3.477250533E1,-6.560942531E1
3.487817063E1,-6.348089067E1
3.498436650E1,-6.635402398E1
3.508896563E1,-6.438906164E1
3.519765008E1,-6.752028488E1
3.530576779E1,-6.733120003E1
3.541446208E1,-6.678864691E1
3.552235812E1,-6.988774096E1
3.563091088E1,-6.674655225E1
3.573902387E1,-7.029735251E1
3.584771042E1,-7.132861488E1
3.595550700E1,-6.894041058E1
3.606423933E1,-7.191575340E1
3.617235667E1,-7.068669109E1
3.627790733E1,-7.016376471E1
3.638638904E1,-7.178381189E1
3.649532912E1,-6.951345333E1
3.660405558E1,-7.188025865E1
3.670834412E1,-7.046385566E1
3.681698483E1,-7.173745673E1
3.692229192E1,-7.211167889E1
3.703114754E1,-7.065537228E1
3.713889488E1,-7.054507396E1
3.724770242E1,-7.237422872E1
3.735550321E1,-7.250179950E1
3.746419967E1,-7.185968238E1
3.757220996E1,-7.022837711E1
