"Time (s)","Sound pressure level (dB)"
0.000000000E0,NaN
2.615875833E-1,NaN
3.647010417E-1,-7.139089969E1
4.697477500E-1,-7.305887105E1
5.751110417E-1,-6.794890299E1
6.814606667E-1,-6.479841922E1
7.897614167E-1,-6.935434588E1
8.980796667E-1,-7.015770070E1
1.006403250E0,-7.126436502E1
1.114829375E0,-7.112222383E1
1.222623125E0,-7.133062767E1
1.331419125E0,-7.294928826E1
1.439370708E0,-7.491095187E1
1.547936042E0,-7.246064661E1
1.656200958E0,-6.639319826E1
1.764320333E0,-6.850439485E1
1.869071167E0,-6.836793642E1
1.977576708E0,-7.172701447E1
2.086539125E0,-5.848455535E1
2.192817917E0,-6.760365905E1
2.297725292E0,-7.215123145E1
2.405579750E0,-6.073823507E1
2.512920292E0,-6.591270048E1
2.620890500E0,-6.462591816E1
2.729701167E0,-7.031471839E1
2.838527625E0,-7.232766715E1
2.946302625E0,-7.305660076E1
3.052982542E0,-7.502410754E1
3.161581833E0,-7.627323811E1
3.270455583E0,-7.580125454E1
3.379197250E0,-7.453500385E1
3.488042375E0,-7.676951299E1
3.596485917E0,-7.512523290E1
3.705943792E0,-7.590589606E1
3.814592792E0,-7.481622966E1
3.924055667E0,-7.277758376E1
4.031818750E0,-6.986839223E1
4.140753625E0,-7.509559475E1
4.247831417E0,-7.485374755E1
4.356301375E0,-7.494827561E1
4.464587000E0,-7.486560865E1
4.572795542E0,-7.196233774E1
4.681201458E0,-7.391546714E1
4.790276167E0,-7.511655249E1
4.897883375E0,-7.420457932E1
5.006782875E0,-7.367369649E1
5.114507333E0,-7.260339518E1
5.223745042E0,-7.387270445E1
5.331204792E0,-7.322430103E1
5.439858250E0,-7.214245801E1
5.547769625E0,-7.462544913E1
5.656620292E0,-7.511087086E1
5.764222833E0,-7.009828247E1
5.872878625E0,-7.513964051E1
5.980856250E0,-7.500660848E1
6.089484125E0,-7.160940878E1
6.197504958E0,-7.386459346E1
6.306171750E0,-6.369323616E1
6.414486917E0,-7.290970406E1
6.523193250E0,-7.476529635E1
6.631188417E0,-7.252699149E1
6.740998458E0,-7.310145487E1
6.846689417E0,-7.507634897E1
6.953710833E0,-7.307709166E1
7.062420542E0,-7.323216865E1
7.171369750E0,-7.366781065E1
7.279769500E0,-7.351647961E1
7.388621792E0,-7.664364892E1
7.497394417E0,-7.187006006E1
7.606108500E0,-7.325638774E1
7.714178167E0,-7.328014037E1
7.822931000E0,-6.841953492E1
7.930878250E0,-7.100384175E1
8.039586500E0,-7.068175321E1
8.147479458E0,-7.483863492E1
8.256225667E0,-7.690958311E1
8.364157208E0,-7.373656731E1
8.471757583E0,-7.566356093E1
8.580292458E0,-7.732912873E1
8.689026375E0,-7.160513342E1
8.797452208E0,-7.556951329E1
8.906095375E0,-7.439716096E1
9.014155042E0,-7.557643617E1
9.122988333E0,-7.469241308E1
9.230765875E0,-7.658297149E1
9.336116792E0,-7.672176127E1
9.444839333E0,-7.448485769E1
9.550752708E0,-7.580966988E1
9.659288125E0,-7.384239414E1
9.764181583E0,-7.631604833E1
9.872976333E0,-7.558250782E1
9.980656083E0,-7.408684102E1
1.008944933E1,-7.483651329E1
1.019737129E1,-7.374715325E1
1.030280950E1,-7.519264516E1
1.041138812E1,-5.435806820E1
1.051620442E1,-3.003168856E1
1.062292963E1,-3.273791599E1
1.073083921E1,-3.196053458E1
1.083702925E1,-3.436582882E1
1.094291942E1,-3.358757371E1
1.104731442E1,-3.526200027E1
1.115596754E1,-3.631893923E1
1.126396671E1,-3.894461696E1
1.136781575E1,-3.822967599E1
1.147659263E1,-4.108740183E1
1.158053571E1,-4.150666749E1
1.168830217E1,-4.259047904E1
1.179727629E1,-4.599744647E1
1.190600900E1,-4.524526881E1
1.201399250E1,-4.944188892E1
1.211883871E1,-5.019592636E1
1.222744896E1,-5.152138030E1
1.233633208E1,-5.594581280E1
1.244489017E1,-5.533720450E1
1.255352837E1,-5.450167997E1
1.266030833E1,-5.249505393E1
1.276891058E1,-5.338608129E1
1.287771642E1,-5.094958995E1
1.298649083E1,-5.151117908E1
1.309518013E1,-5.085330020E1
1.320416725E1,-5.004575749E1
1.331297537E1,-5.111686596E1
1.342190392E1,-4.993735158E1
1.353055383E1,-5.087333094E1
1.363921054E1,-5.085447693E1
1.374706896E1,-5.186012821E1
1.385565379E1,-5.186288951E1
1.396367950E1,-5.273977809E1
1.407252317E1,-5.326958549E1
1.418041808E1,-5.408988088E1
1.428703646E1,-5.462340966E1
1.439572754E1,-5.588359442E1
1.450444658E1,-5.659359298E1
1.461212821E1,-5.758415705E1
1.472345096E1,-5.937595828E1
1.483072100E1,-5.930459223E1
1.493630242E1,-6.174320792E1
1.504478962E1,-6.352997884E1
1.515358008E1,-6.532646927E1
1.526206096E1,-6.493171821E1
1.537099188E1,-6.601304066E1
1.547785058E1,-6.575543860E1
1.558670979E1,-6.505077304E1
1.569541571E1,-6.565260915E1
1.580431921E1,-6.528067270E1
1.591320479E1,-6.494931483E1
1.602011475E1,-6.469172254E1
1.612895912E1,-6.416039912E1
1.623351950E1,-6.463359753E1
1.634225804E1,-6.411989536E1
1.644681000E1,NaN
1.655344433E1,-6.468380804E1
1.666201033E1,-6.489811208E1
1.677069567E1,-6.520289391E1
1.687935288E1,-6.492877128E1
1.698826937E1,-6.626069034E1
1.709709317E1,-6.567832569E1
1.720578342E1,-6.616808010E1
1.731372987E1,-6.659443738E1
1.742232229E1,-6.721070035E1
1.753032796E1,-6.751596700E1
1.763908179E1,-6.581219153E1
1.774697846E1,-6.567000050E1
1.785588433E1,-6.665035090E1
1.796359092E1,-6.744007863E1
1.806799825E1,-6.826604339E1
1.817463996E1,-6.820282377E1
1.828026417E1,-6.901101843E1
1.838903117E1,-6.982157962E1
1.849691946E1,-7.006083108E1
1.860555304E1,-7.066423766E1
1.871356746E1,-6.723164201E1
1.881887583E1,-6.730337625E1
1.892762662E1,-6.908205456E1
1.903639087E1,-6.860848100E1
1.914390021E1,-6.885211773E1
1.925260913E1,-7.111366152E1
1.935947342E1,-7.200248231E1
1.946358671E1,-7.053685405E1
1.957235621E1,-7.102156545E1
1.968027304E1,-7.210415423E1
1.978904463E1,-7.072946716E1
1.989684362E1,-7.051153127E1
2.000559867E1,-7.191042148E1
2.011350392E1,-7.215663193E1
2.022227600E1,-7.165653055E1
2.033031892E1,-6.886689853E1
2.043892000E1,-6.562338717E1
2.054671787E1,-2.520958710E1
2.065532008E1,-2.403672426E1
2.076369783E1,-2.508326398E1
2.087244467E1,-2.602146499E1
2.098016533E1,-2.848875455E1
2.108907971E1,-2.780364337E1
2.119680917E1,-3.021580660E1
2.130550271E1,-3.048164895E1
2.141341521E1,-3.086556451E1
2.151906642E1,-3.336874933E1
2.162781663E1,-3.228535672E1
2.173730733E1,-3.510457871E1
2.184403842E1,-3.518819808E1
2.195289950E1,-3.914539536E1
2.205724496E1,-3.804602184E1
2.216321163E1,-4.158652572E1
2.227139888E1,-4.198757391E1
2.238005617E1,-4.335740063E1
2.248884625E1,-4.699094859E1
2.259670350E1,-4.672615489E1
2.270548904E1,-5.103254141E1
2.281333867E1,-5.232853856E1
2.292206092E1,-5.359258641E1
2.303004667E1,-5.331174231E1
2.313895383E1,-5.175409992E1
2.324663862E1,-5.080802361E1
2.335522842E1,-4.872672319E1
2.346325679E1,-4.849149393E1
2.357176654E1,-4.804323179E1
2.367997979E1,-4.715821512E1
2.378879963E1,-4.697719629E1
2.389678871E1,-4.682948279E1
2.400330496E1,-4.720302572E1
2.411214187E1,-4.777014664E1
2.422094167E1,-4.873717200E1
2.432569804E1,-5.014027972E1
2.442997450E1,-5.198481736E1
2.453871146E1,-5.099295478E1
2.464653500E1,-5.201416782E1
2.475507504E1,-5.329673009E1
2.486309108E1,-5.320053769E1
2.497168704E1,-5.358210209E1
