"Time (s)","Sound pressure level (dB)"
0.000000000E0,-6.812694580E1
2.024045000E-1,NaN
3.081410417E-1,-7.168704924E1
4.103393333E-1,-7.327046922E1
5.154630000E-1,-7.355145554E1
6.248470417E-1,-7.381024038E1
7.318207500E-1,-7.330154351E1
8.408536667E-1,-7.407259844E1
9.485483750E-1,-7.452215970E1
1.056232625E0,-7.259409996E1
1.165221625E0,-7.241096228E1
1.274774333E0,-7.163939072E1
1.382202708E0,-7.083474822E1
1.491326792E0,-7.240999854E1
1.598223500E0,-7.363599081E1
1.705128625E0,-7.182555985E1
1.810439042E0,-7.280649878E1
1.917575083E0,-6.963440297E1
2.026400333E0,-7.246672506E1
2.134210583E0,-7.010480297E1
2.243148625E0,-7.322470405E1
2.350864917E0,-6.617900931E1
2.456489583E0,-7.165115537E1
2.564728708E0,-7.196812450E1
2.667442667E0,-7.106218651E1
2.776513833E0,-6.979225724E1
2.883654000E0,-7.129553296E1
2.986049833E0,NaN
3.093042000E0,-7.237123698E1
3.200480792E0,-7.106485898E1
3.306600375E0,-7.095287564E1
3.410373750E0,-7.123401098E1
3.517438417E0,-4.961114438E1
3.626902875E0,-5.859732965E1
3.734120958E0,-5.921986321E1
3.844142375E0,-6.390073173E1
3.950826625E0,-6.651965339E1
4.059754458E0,-6.756672666E1
4.167495375E0,-7.016174367E1
4.276703417E0,-6.715807234E1
4.384166583E0,-6.527299105E1
4.493228917E0,-7.023253118E1
4.600823667E0,-6.494454912E1
4.709904042E0,-6.713336995E1
4.817581000E0,-7.106075958E1
4.926738500E0,-7.043166936E1
5.034174542E0,-7.107698604E1
5.143386583E0,-6.665343769E1
5.250986875E0,-6.874145356E1
5.360233667E0,-6.293255923E1
5.467377625E0,-6.872647343E1
5.575175042E0,-7.231117646E1
5.681187875E0,-7.185728196E1
5.789778083E0,-7.411601610E1
5.897922250E0,-7.294848970E1
6.006677458E0,-7.206511823E1
6.114671167E0,-7.272541961E1
6.218827875E0,-7.342546821E1
6.327203750E0,-7.355855045E1
6.434104333E0,-7.330162469E1
6.542891833E0,-7.293310648E1
6.650184500E0,-7.410356931E1
6.759021083E0,-7.398394608E1
6.867480667E0,-7.348547485E1
6.974495042E0,-7.274209852E1
7.081390042E0,-7.428584124E1
7.190235042E0,-7.332650416E1
7.297887292E0,-7.411027138E1
7.405735667E0,-7.387269371E1
7.514647500E0,-7.448240780E1
7.619050750E0,-7.460514465E1
7.724390083E0,-7.498636129E1
7.831274625E0,-7.474094083E1
7.939983167E0,-7.451499991E1
8.047974917E0,-7.526243984E1
8.156903125E0,-7.388475928E1
8.264638875E0,-7.506709597E1
8.373199167E0,-7.140406148E1
8.481265375E0,-7.283985781E1
8.589937625E0,-6.862152936E1
8.697890375E0,-6.901544773E1
8.806446542E0,-6.920973740E1
8.914615750E0,-7.209490312E1
9.023251750E0,-6.852315959E1
9.131173417E0,-6.258193313E1
9.239877292E0,-7.274804578E1
9.347861792E0,-7.127011254E1
9.453598500E0,-7.359606176E1
9.559890625E0,-7.225132503E1
9.666997333E0,-7.393661640E1
9.773682375E0,-6.510662293E1
9.881182917E0,-7.053456143E1
9.989589917E0,-7.456258493E1
1.009759704E1,-7.152583083E1
1.020518537E1,-7.154318205E1
1.031385933E1,-7.257555806E1
1.041763117E1,-5.812414857E1
1.052628117E1,-1.550108017E1
1.063432762E1,-1.921426302E1
1.074300613E1,-2.464920726E1
1.085103271E1,-2.988157357E1
1.095968779E1,-3.359192737E1
1.106765975E1,-3.576380612E1
1.117645417E1,-3.711713226E1
1.128444979E1,-3.814509149E1
1.139308938E1,-3.954847247E1
1.150103517E1,-4.021133941E1
1.160817879E1,-4.087886030E1
1.171413167E1,-4.151018773E1
1.182287471E1,-4.234511234E1
1.193091454E1,-4.297895230E1
1.203787138E1,-4.360122082E1
1.214154125E1,-4.437019031E1
1.224764600E1,-4.525056825E1
1.235435371E1,-4.606702729E1
1.246164829E1,-4.708544479E1
1.256743279E1,-4.804537320E1
1.267160050E1,-4.885696889E1
1.278100788E1,-4.951477937E1
1.288822671E1,-5.024775597E1
1.299715813E1,-5.141715933E1
1.310093646E1,-5.172836326E1
1.320957971E1,-5.234958129E1
1.331769983E1,-5.266377696E1
1.342644758E1,-5.289749732E1
1.353434246E1,-5.318704863E1
1.364134642E1,-5.364524541E1
1.374754338E1,-5.384803577E1
1.385621600E1,-5.372612271E1
1.396420033E1,-5.374646454E1
1.407290900E1,-5.379777182E1
1.418088767E1,-5.399274410E1
1.428428996E1,-5.415491905E1
1.439264967E1,-5.424272514E1
1.450083821E1,-5.437508096E1
1.460940775E1,-5.462290031E1
1.471766663E1,-5.461490382E1
1.482642738E1,-5.465400694E1
1.493437988E1,-5.485314398E1
1.504348596E1,-5.523159550E1
1.515100617E1,-5.526826564E1
1.525610650E1,-5.560315265E1
1.536428254E1,-5.587779951E1
1.547295675E1,-5.637369156E1
1.558068392E1,-5.681972116E1
1.568935246E1,-5.709547657E1
1.579728992E1,-5.724842479E1
1.590245688E1,-5.765248222E1
1.601088292E1,-5.853300713E1
1.611768192E1,-5.865279690E1
1.622497917E1,-5.919225159E1
1.633083917E1,-5.971312472E1
1.643460513E1,-6.015528607E1
1.653935079E1,-6.009414807E1
1.664737838E1,-6.087761243E1
1.675623296E1,-6.143436885E1
1.686401983E1,-6.205775775E1
1.697278692E1,-6.316163005E1
1.708075433E1,-6.306948832E1
1.718922892E1,-6.363575939E1
1.729712150E1,-6.375289107E1
1.740428375E1,-6.527066945E1
1.751294025E1,-6.594735777E1
1.762167529E1,-6.636763436E1
1.772935838E1,-6.637454493E1
1.783846350E1,-6.677313292E1
1.794738583E1,-6.706046685E1
1.805605317E1,-6.860073194E1
1.816392821E1,-6.884606186E1
1.827268546E1,-6.994545623E1
1.838071567E1,-6.952206289E1
1.848927454E1,-7.046797383E1
1.859719225E1,-6.896541857E1
1.870559704E1,-6.921586996E1
1.881403546E1,-6.838413642E1
1.892251929E1,-6.995330877E1
1.903054471E1,-7.060045283E1
1.913878554E1,-7.047106465E1
1.924742167E1,-7.054669505E1
1.935432292E1,-6.956767869E1
1.946304087E1,-6.838259254E1
1.956884617E1,-6.751354074E1
1.967754221E1,-6.968731453E1
1.978637329E1,-6.771311630E1
1.989483088E1,-7.190837201E1
2.000378700E1,-7.157475430E1
2.011245129E1,-6.966307840E1
2.022154433E1,-7.264386031E1
2.033031096E1,-5.879825718E1
2.043910350E1,-6.960492292E1
2.054752858E1,-7.052117691E1
2.065629208E1,-2.045020633E1
2.076390908E1,-2.056650984E1
2.087272133E1,-2.559431320E1
2.098043617E1,-3.413357610E1
2.108891183E1,-3.662133095E1
2.119712308E1,-3.830654795E1
2.130586304E1,-3.958078686E1
